#Wj xj yj
2.163734102794297e-60 0.7943385323333333 2.125
2.114013152405722e-60 0.7221259386666666 2.25
2.1614438278933447e-60 0.7943385323333333 2.375
2.1138310237573813e-60 0.7221259386666666 2.5
2.1621518739714754e-60 0.7943385323333333 2.625
2.1138101092421868e-60 0.7221259386666666 2.75
2.1627090839413014e-60 0.7943385323333333 2.875
2.1143408025824082e-60 0.7221259386666666 3.0
2.1628888535528152e-60 0.7943385323333333 3.125
2.1147586839772415e-60 0.7221259386666666 3.25
2.1636121292750124e-60 0.7943385323333333 3.375
2.1140346253277155e-60 0.7221259386666666 3.5
2.1649540943470172e-60 0.7943385323333333 3.625
2.1322441033940455e-60 0.7221259386666666 3.75
2.1968952564778283e-60 0.7943385323333333 3.875
2.188689806294792e-60 0.7221259386666666 4.0
2.2780379641777875e-60 0.7943385323333333 4.125
2.2988560792622743e-60 0.7221259386666666 4.25
2.4309319159581343e-60 0.7943385323333333 4.375
2.4929866068478243e-60 0.7221259386666666 4.5
2.695538629861659e-60 0.7943385323333333 4.625
2.803829018862434e-60 0.7221259386666666 4.75
3.068252631667114e-60 0.7943385323333333 4.875
3.094422120106677e-60 0.7221259386666666 4.958333333333333
3.710337900138156e-60 1.0109763153333333 0.041666666666666664
3.4013330020183796e-60 0.9387637206666666 0.125
3.225690122458045e-60 1.0109763153333333 0.25
2.886886115745702e-60 0.9387637206666666 0.375
2.78676915454417e-60 1.0109763153333333 0.5
2.572181501816786e-60 0.9387637206666666 0.625
2.542224452242757e-60 1.0109763153333333 0.75
2.3989026309084517e-60 0.9387637206666666 0.875
2.4150610901228687e-60 1.0109763153333333 1.0
2.3121882447302734e-60 0.9387637206666666 1.125
2.3629331337864952e-60 1.0109763153333333 1.25
2.2829537041520369e-60 0.9387637206666666 1.375
2.3574642217101834e-60 1.0109763153333333 1.5
2.2843561013931606e-60 0.9387637206666666 1.625
2.356883554917431e-60 1.0109763153333333 1.75
2.2833116723994784e-60 0.9387637206666666 1.875
2.3559455310924023e-60 1.0109763153333333 2.0
2.282676004707015e-60 0.9387637206666666 2.125
2.3568647266417922e-60 1.0109763153333333 2.25
2.2825118636010065e-60 0.9387637206666666 2.375
2.3545348194094922e-60 1.0109763153333333 2.5
2.2820797915149296e-60 0.9387637206666666 2.625
2.355845963648673e-60 1.0109763153333333 2.75
2.2823370656610997e-60 0.9387637206666666 2.875
2.356609471654819e-60 1.0109763153333333 3.0
2.2833024967667617e-60 0.9387637206666666 3.125
2.3573984051568752e-60 1.0109763153333333 3.25
2.2847524961232174e-60 0.9387637206666666 3.375
2.3578313776195825e-60 1.0109763153333333 3.5
2.2827289928243295e-60 0.9387637206666666 3.625
2.361622838603409e-60 1.0109763153333333 3.75
2.3080089423732953e-60 0.9387637206666666 3.875
2.408043498535709e-60 1.0109763153333333 4.0
2.3882649366123596e-60 0.9387637206666666 4.125
2.52682536689128e-60 1.0109763153333333 4.25
2.552022963487046e-60 0.9387637206666666 4.375
2.7586486789371136e-60 1.0109763153333333 4.5
2.8530742267445605e-60 0.9387637206666666 4.625
3.18083992352383e-60 1.0109763153333333 4.75
3.3594889169441955e-60 0.9387637206666666 4.875
3.695552635997356e-60 1.0109763153333333 4.958333333333333
3.824676910448735e-60 1.1554015033333334 0.041666666666666664
3.86695766674156e-60 1.2276140966666667 0.125
3.44151253920989e-60 1.1554015033333334 0.25
3.2932545952245105e-60 1.2276140966666667 0.375
2.9736556989198156e-60 1.1554015033333334 0.5
2.924579690227986e-60 1.2276140966666667 0.625
2.712018654640282e-60 1.1554015033333334 0.75
2.732837756512011e-60 1.2276140966666667 0.875
2.5820468513125314e-60 1.1554015033333334 1.0
2.6501851085841505e-60 1.2276140966666667 1.125
2.534282437108067e-60 1.1554015033333334 1.25
2.6326511964542693e-60 1.2276140966666667 1.375
2.5312702038991896e-60 1.1554015033333334 1.5
2.6307476049845346e-60 1.2276140966666667 1.625
2.5298747870969455e-60 1.1554015033333334 1.75
2.629440752780768e-60 1.2276140966666667 1.875
2.52873686532788e-60 1.1554015033333334 2.0
2.628617916197943e-60 1.2276140966666667 2.125
2.5278807848373154e-60 1.1554015033333334 2.25
2.6281190383287813e-60 1.2276140966666667 2.375
2.527887887435799e-60 1.1554015033333334 2.5
2.626706791775594e-60 1.2276140966666667 2.625
2.527808278332064e-60 1.1554015033333334 2.75
2.6292744179835377e-60 1.2276140966666667 2.875
2.528853551030335e-60 1.1554015033333334 3.0
2.6284406771574376e-60 1.2276140966666667 3.125
2.530158564052868e-60 1.1554015033333334 3.25
2.6319494502087184e-60 1.2276140966666667 3.375
2.531591642325559e-60 1.1554015033333334 3.5
2.632348382665758e-60 1.2276140966666667 3.625
2.533358101124501e-60 1.1554015033333334 3.75
2.6473087157052646e-60 1.2276140966666667 3.875
2.57527123834388e-60 1.1554015033333334 4.0
2.721793773669926e-60 1.2276140966666667 4.125
2.695794065104636e-60 1.1554015033333334 4.25
2.901250605393125e-60 1.2276140966666667 4.375
2.942111378499075e-60 1.1554015033333334 4.5
3.2485612046970705e-60 1.2276140966666667 4.625
3.382107377690714e-60 1.1554015033333334 4.75
3.784699209220405e-60 1.2276140966666667 4.875
3.8457668598875483e-60 1.1554015033333334 4.958333333333333
4.736979662367468e-60 1.4442518766666668 0.041666666666666664
4.308714724941356e-60 1.3720392833333335 0.125
4.042056432797234e-60 1.4442518766666668 0.25
3.5624111329949223e-60 1.3720392833333335 0.375
3.465475031549794e-60 1.4442518766666668 0.5
3.160638367170114e-60 1.3720392833333335 0.625
3.173020950026828e-60 1.4442518766666668 0.75
2.9614499401322346e-60 1.3720392833333335 0.875
3.039719642072963e-60 1.4442518766666668 1.0
2.879661630509216e-60 1.3720392833333335 1.125
2.996101922605224e-60 1.4442518766666668 1.25
2.8609742245259284e-60 1.3720392833333335 1.375
2.983812679505287e-60 1.4442518766666668 1.5
2.8568839324345837e-60 1.3720392833333335 1.625
2.983410881384523e-60 1.4442518766666668 1.75
